year,month,average_month_temperature
1925,10,24.726
1925,11,20.475
1925,12,16.871
1926,01,17.302
1926,02,20.337
1926,03,23.235
1926,04,25.866
1926,05,29.211
1926,06,30.892
1926,07,27.511
1926,08,26.327
1926,09,25.892
1926,10,24.170
1926,11,19.396
1926,12,16.986
1927,01,16.763
1927,02,18.708
1927,03,22.965
1927,04,27.480
1927,05,29.668
1927,06,29.321
1927,07,26.730
1927,08,26.062
1927,09,26.137
1927,10,24.391
1927,11,19.705
1927,12,17.630
1928,01,17.011
1928,02,19.488
1928,03,23.914
1928,04,27.610
1928,05,30.677
1928,06,28.957
1928,07,26.849
1928,08,26.644
1928,09,26.303
1928,10,24.608
1928,11,20.816
1928,12,17.062
1929,01,16.814
1929,02,18.548
1929,03,24.639
1929,04,27.691
1929,05,30.683
1929,06,29.001
1929,07,26.760
1929,08,26.020
1929,09,26.438
1929,10,24.018
1929,11,20.677
1929,12,16.709
1930,01,16.519
1930,02,18.703
1930,03,23.966
1930,04,27.121
1930,05,29.890
1930,06,29.040
1930,07,26.596
1930,08,26.208
1930,09,26.343
1930,10,24.608
1930,11,20.010
1930,12,17.354
1931,01,17.830
1931,02,19.086
1931,03,23.549
1931,04,28.647
1931,05,30.339
1931,06,30.283
1931,07,27.082
1931,08,26.680
1931,09,26.050
1931,10,24.183
1931,11,20.366
1931,12,17.418
1932,01,17.748
1932,02,18.557
1932,03,23.777
1932,04,27.502
1932,05,29.813
1932,06,29.887
1932,07,27.013
1932,08,26.304
1932,09,26.358
1932,10,24.733
1932,11,20.600
1932,12,17.279
1933,01,16.285
1933,02,19.832
1933,03,23.764
1933,04,26.624
1933,05,28.339
1933,06,28.511
1933,07,26.945
1933,08,25.901
1933,09,25.735
1933,10,24.031
1933,11,20.466
1933,12,17.313
1934,01,15.965
1934,02,19.657
1934,03,23.307
1934,04,27.792
1934,05,30.059
1934,06,29.017
1934,07,26.809
1934,08,26.063
1934,09,26.151
1934,10,23.812
1934,11,19.764
1934,12,17.349
1935,01,15.936
1935,02,19.423
1935,03,23.651
1935,04,26.012
1935,05,30.657
1935,06,29.845
1935,07,26.764
1935,08,25.986
1935,09,25.724
1935,10,24.172
1935,11,20.586
1935,12,17.396
1936,01,16.672
1936,02,19.200
1936,03,23.560
1936,04,27.345
1936,05,30.553
1936,06,27.870
1936,07,26.809
1936,08,26.301
1936,09,26.193
1936,10,24.317
1936,11,20.978
1936,12,17.367
1937,01,16.141
1937,02,19.625
1937,03,22.958
1937,04,26.474
1937,05,30.014
1937,06,29.709
1937,07,26.709
1937,08,26.529
1937,09,26.285
1937,10,23.854
1937,11,20.593
1937,12,16.514
1938,01,17.414
1938,02,18.409
1938,03,24.748
1938,04,28.203
1938,05,30.437
1938,06,27.566
1938,07,26.675
1938,08,26.366
1938,09,26.396
1938,10,24.432
1938,11,19.657
1938,12,17.117
1939,01,17.506
1939,02,19.671
1939,03,22.538
1939,04,26.983
1939,05,30.559
1939,06,29.042
1939,07,26.858
1939,08,26.755
1939,09,26.172
1939,10,24.819
1939,11,20.388
1939,12,17.284
1940,01,16.757
1940,02,19.287
1940,03,22.345
1940,04,27.026
1940,05,30.137
1940,06,29.321
1940,07,26.924
1940,08,26.115
1940,09,26.155
1940,10,24.625
1940,11,21.302
1940,12,17.376
1941,01,16.985
1941,02,19.911
1941,03,25.108
1941,04,29.010
1941,05,30.730
1941,06,29.269
1941,07,27.514
1941,08,26.932
1941,09,26.515
1941,10,25.426
1941,11,20.829
1941,12,18.299
1942,01,16.707
1942,02,19.729
1942,03,24.521
1942,04,28.331
1942,05,30.778
1942,06,30.163
1942,07,26.632
1942,08,26.031
1942,09,25.724
1942,10,24.408
1942,11,20.906
1942,12,17.093
1943,01,17.523
1943,02,18.738
1943,03,23.936
1943,04,26.674
1943,05,30.029
1943,06,28.781
1943,07,26.666
1943,08,25.845
1943,09,25.947
1943,10,24.085
1943,11,21.042
1943,12,17.487
1944,01,16.760
1944,02,18.838
1944,03,22.702
1944,04,26.604
1944,05,30.782
1944,06,29.345
1944,07,26.630
1944,08,26.295
1944,09,26.053
1944,10,23.979
1944,11,20.631
1944,12,18.039
1945,01,15.894
1945,02,18.644
1945,03,24.039
1945,04,26.616
1945,05,29.944
1945,06,29.750
1945,07,26.741
1945,08,26.441
1945,09,25.942
1945,10,23.828
1945,11,20.060
1945,12,16.186
1946,01,16.893
1946,02,20.407
1946,03,23.794
