year,month,average_month_temperature
1925,10,25.010
1925,11,25.418
1925,12,25.510
1926,01,25.550
1926,02,25.671
1926,03,25.662
1926,04,24.940
1926,05,23.846
1926,06,23.904
1926,07,22.730
1926,08,24.087
1926,09,25.654
1926,10,25.634
1926,11,26.051
1926,12,25.290
1927,01,25.391
1927,02,25.191
1927,03,25.297
1927,04,24.658
1927,05,23.783
1927,06,22.817
1927,07,22.442
1927,08,24.048
1927,09,25.139
1927,10,25.661
1927,11,26.031
1927,12,25.637
1928,01,25.411
1928,02,25.744
1928,03,25.594
1928,04,25.296
1928,05,24.401
1928,06,23.735
1928,07,23.076
1928,08,23.588
1928,09,25.103
1928,10,25.481
1928,11,25.933
1928,12,25.362
1929,01,25.577
1929,02,25.249
1929,03,25.043
1929,04,24.367
1929,05,23.361
1929,06,22.996
1929,07,22.914
1929,08,24.179
1929,09,25.250
1929,10,25.610
1929,11,25.653
1929,12,24.922
1930,01,25.332
1930,02,25.270
1930,03,25.590
1930,04,24.500
1930,05,24.186
1930,06,23.860
1930,07,23.098
1930,08,24.275
1930,09,24.991
1930,10,25.423
1930,11,25.443
1930,12,25.556
1931,01,25.910
1931,02,25.667
1931,03,25.464
1931,04,25.072
1931,05,23.738
1931,06,22.891
1931,07,22.987
1931,08,23.629
1931,09,24.847
1931,10,25.478
1931,11,25.427
1931,12,25.485
1932,01,25.162
1932,02,25.553
1932,03,25.301
1932,04,25.363
1932,05,24.101
1932,06,23.613
1932,07,23.616
1932,08,23.839
1932,09,25.303
1932,10,25.693
1932,11,25.890
1932,12,25.618
1933,01,25.556
1933,02,25.456
1933,03,25.371
1933,04,24.485
1933,05,23.976
1933,06,22.573
1933,07,22.496
1933,08,24.016
1933,09,25.248
1933,10,25.313
1933,11,25.120
1933,12,25.119
1934,01,24.865
1934,02,24.929
1934,03,25.034
1934,04,24.536
1934,05,23.880
1934,06,23.504
1934,07,22.892
1934,08,24.107
1934,09,25.010
1934,10,24.957
1934,11,25.570
1934,12,25.299
1935,01,25.293
1935,02,25.377
1935,03,25.557
1935,04,24.274
1935,05,23.421
1935,06,23.473
1935,07,23.285
1935,08,23.766
1935,09,24.950
1935,10,25.637
1935,11,25.611
1935,12,25.731
1936,01,25.186
1936,02,25.231
1936,03,25.548
1936,04,24.911
1936,05,24.755
1936,06,23.699
1936,07,23.103
1936,08,23.767
1936,09,25.287
1936,10,25.893
1936,11,25.804
1936,12,25.563
1937,01,25.432
1937,02,25.623
1937,03,25.522
1937,04,24.539
1937,05,23.678
1937,06,23.527
1937,07,23.305
1937,08,24.742
1937,09,25.309
1937,10,25.355
1937,11,25.987
1937,12,25.380
1938,01,25.478
1938,02,25.930
1938,03,25.498
1938,04,24.660
1938,05,24.241
1938,06,23.494
1938,07,23.313
1938,08,24.045
1938,09,25.348
1938,10,25.155
1938,11,25.775
1938,12,25.382
1939,01,25.493
1939,02,25.242
1939,03,25.668
1939,04,24.837
1939,05,24.716
1939,06,23.850
1939,07,22.894
1939,08,24.122
1939,09,24.855
1939,10,25.494
1939,11,25.669
1939,12,25.583
1940,01,25.278
1940,02,25.692
1940,03,25.647
1940,04,25.174
1940,05,24.770
1940,06,23.771
1940,07,24.084
1940,08,24.298
1940,09,25.229
1940,10,25.544
1940,11,25.521
1940,12,26.023
1941,01,25.838
1941,02,25.926
1941,03,25.714
1941,04,25.702
1941,05,24.612
1941,06,23.367
1941,07,23.687
1941,08,25.016
1941,09,24.523
1941,10,25.828
1941,11,25.843
1941,12,25.701
1942,01,26.117
1942,02,25.820
1942,03,25.871
1942,04,25.148
1942,05,24.086
1942,06,22.988
1942,07,22.150
1942,08,24.259
1942,09,25.519
1942,10,25.268
1942,11,25.809
1942,12,25.083
1943,01,25.277
1943,02,25.565
1943,03,25.207
1943,04,24.304
1943,05,24.131
1943,06,23.492
1943,07,23.057
1943,08,23.343
1943,09,24.695
1943,10,25.695
1943,11,25.476
1943,12,25.004
1944,01,25.321
1944,02,25.452
1944,03,25.527
1944,04,24.488
1944,05,24.117
1944,06,23.708
1944,07,23.067
1944,08,24.520
1944,09,25.423
1944,10,26.051
1944,11,25.654
1944,12,25.446
1945,01,25.495
1945,02,25.267
1945,03,25.640
1945,04,24.868
1945,05,23.293
1945,06,22.747
1945,07,23.096
1945,08,25.011
1945,09,25.284
1945,10,25.323
1945,11,25.477
1945,12,25.039
1946,01,25.258
1946,02,25.809
1946,03,25.526
1946,04,24.801
