year,month,average_month_temperature
1925,03,.709
1925,04,7.259
1925,05,13.134
1925,06,17.854
1925,07,19.737
1925,08,18.320
1925,09,14.214
1925,10,8.082
1925,11,.571
1925,12,-6.016
1926,01,-7.681
1926,02,-4.593
1926,03,1.722
1926,04,7.797
1926,05,13.923
1926,06,17.548
1926,07,19.847
1926,08,18.979
1926,09,14.924
1926,10,7.113
1926,11,-.445
1926,12,-7.476
1927,01,-8.356
1927,02,-6.339
1927,03,-.141
1927,04,7.876
1927,05,12.999
1927,06,17.219
1927,07,20.349
1927,08,18.787
1927,09,14.105
1927,10,7.809
1927,11,1.077
1927,12,-5.707
1928,01,-8.245
1928,02,-5.080
1928,03,1.735
1928,04,8.847
1928,05,14.321
1928,06,17.683
1928,07,19.966
1928,08,18.510
1928,09,14.169
1928,10,7.243
1928,11,-.381
1928,12,-7.629
1929,01,-9.224
1929,02,-5.861
1929,03,1.998
1929,04,8.713
1929,05,13.629
1929,06,17.562
1929,07,19.480
1929,08,18.424
1929,09,13.943
1929,10,6.686
1929,11,-.845
1929,12,-8.638
1930,01,-11.369
1930,02,-4.341
1930,03,1.567
1930,04,7.872
1930,05,13.861
1930,06,17.138
1930,07,20.555
1930,08,18.709
1930,09,13.613
1930,10,7.386
1930,11,-.876
1930,12,-6.799
1931,01,-8.838
1931,02,-7.067
1931,03,1.861
1931,04,7.737
1931,05,12.796
1931,06,17.581
1931,07,18.945
1931,08,19.292
1931,09,14.298
1931,10,7.758
1931,11,-.012
1931,12,-6.319
1932,01,-6.698
1932,02,-6.635
1932,03,1.193
1932,04,8.301
1932,05,13.270
1932,06,17.645
1932,07,20.209
1932,08,18.344
1932,09,14.168
1932,10,7.374
1932,11,.884
1932,12,-6.501
1933,01,-10.598
1933,02,-5.293
1933,03,.453
1933,04,7.699
1933,05,13.712
1933,06,17.918
1933,07,19.945
1933,08,19.214
1933,09,14.622
1933,10,6.684
1933,11,-.023
1933,12,-4.979
1934,01,-10.111
1934,02,-5.023
1934,03,-.059
1934,04,6.620
1934,05,14.197
1934,06,17.441
1934,07,19.817
1934,08,18.374
1934,09,14.241
1934,10,6.301
1934,11,-1.301
1934,12,-5.248
1935,01,-8.694
1935,02,-3.884
1935,03,2.634
1935,04,7.162
1935,05,13.358
1935,06,17.660
1935,07,19.749
1935,08,19.069
1935,09,14.369
1935,10,8.801
1935,11,-1.160
1935,12,-9.816
1936,01,-10.650
1936,02,-6.587
1936,03,-1.240
1936,04,7.163
1936,05,12.972
1936,06,17.503
1936,07,19.571
1936,08,18.401
1936,09,14.428
1936,10,8.209
1936,11,.213
1936,12,-7.452
1937,01,-9.122
1937,02,-4.467
1937,03,.247
1937,04,7.742
1937,05,13.726
1937,06,17.391
1937,07,19.726
1937,08,18.945
1937,09,14.321
1937,10,7.874
1937,11,-1.589
1937,12,-6.713
1938,01,-9.258
1938,02,-5.903
1938,03,1.279
