year,month,average_month_temperature
1926,09,14.690
1926,10,7.633
1926,11,5.999
1926,12,.098
1927,01,1.324
1927,02,.706
1927,03,5.968
1927,04,6.951
1927,05,10.771
1927,06,13.986
1927,07,17.333
1927,08,16.537
1927,09,13.575
1927,10,8.412
1927,11,2.565
1927,12,-2.886
1928,01,1.077
1928,02,2.299
1928,03,3.085
1928,04,7.314
1928,05,9.988
1928,06,13.954
1928,07,18.285
1928,08,16.316
1928,09,12.687
1928,10,8.511
1928,11,5.978
1928,12,-.720
1929,01,-4.959
1929,02,-9.148
1929,03,2.610
1929,04,4.322
1929,05,12.932
1929,06,14.337
1929,07,17.451
1929,08,17.089
1929,09,15.612
1929,10,9.484
1929,11,4.570
1929,12,3.094
1930,01,1.916
1930,02,-.272
1930,03,4.319
1930,04,8.172
1930,05,11.503
1930,06,18.038
1930,07,16.325
1930,08,16.004
1930,09,13.179
1930,10,8.571
1930,11,5.681
1930,12,.219
1931,01,-.296
1931,02,-1.272
1931,03,.377
1931,04,5.656
1931,05,14.925
1931,06,15.894
1931,07,16.809
1931,08,15.488
1931,09,10.242
1931,10,7.250
1931,11,4.584
1931,12,-.277
1932,01,1.392
1932,02,-2.092
1932,03,.904
1932,04,6.798
1932,05,12.430
1932,06,14.389
1932,07,17.912
1932,08,18.864
1932,09,15.141
1932,10,8.313
1932,11,4.049
1932,12,.436
1933,01,-2.992
1933,02,-.061
1933,03,5.198
1933,04,6.850
1933,05,11.406
1933,06,14.248
1933,07,18.085
1933,08,17.169
1933,09,13.768
1933,10,8.729
1933,11,2.453
1933,12,-4.250
1934,01,.024
1934,02,1.043
1934,03,4.222
1934,04,10.272
1934,05,13.269
1934,06,16.124
1934,07,18.154
1934,08,16.561
1934,09,15.688
1934,10,9.459
1934,11,3.941
1934,12,4.303
1935,01,-1.234
1935,02,1.634
1935,03,2.875
1935,04,7.197
1935,05,10.293
1935,06,17.040
1935,07,17.669
1935,08,16.683
1935,09,13.802
1935,10,8.443
1935,11,5.009
1935,12,-.066
1936,01,2.621
1936,02,.064
1936,03,5.120
1936,04,6.227
1936,05,12.326
1936,06,15.985
1936,07,16.964
1936,08,16.292
1936,09,13.174
1936,10,6.058
1936,11,3.603
1936,12,1.178
1937,01,-1.193
1937,02,1.972
1937,03,2.855
1937,04,7.885
1937,05,14.618
1937,06,16.335
1937,07,17.185
1937,08,17.273
1937,09,13.598
1937,10,9.395
1937,11,3.060
1937,12,-.960
1938,01,1.046
1938,02,.799
1938,03,7.094
1938,04,4.938
1938,05,10.710
1938,06,15.886
1938,07,16.835
1938,08,17.828
1938,09,14.104
1938,10,8.584
1938,11,6.766
1938,12,-2.233
1939,01,2.040
1939,02,1.522
1939,03,1.860
1939,04,8.647
1939,05,10.397
1939,06,16.135
1939,07,17.113
1939,08,17.754
1939,09,13.614
1939,10,6.295
1939,11,5.176
1939,12,-1.921
1940,01,-9.239
1940,02,-4.595
1940,03,2.715
1940,04,7.746
1940,05,12.040
1940,06,16.276
1940,07,16.180
1940,08,14.563
1940,09,12.558
1940,10,7.382
1940,11,5.176
1940,12,-3.305
1941,01,-5.724
1941,02,-.550
1941,03,3.367
1941,04,5.309
1941,05,9.068
1941,06,16.009
1941,07,18.424
1941,08,15.178
1941,09,12.420
1941,10,7.766
1941,11,1.784
1941,12,.978
1942,01,-8.228
1942,02,-5.792
1942,03,1.453
1942,04,7.317
1942,05,11.965
1942,06,14.135
1942,07,16.020
1942,08,17.747
1942,09,15.361
1942,10,10.961
1942,11,3.077
1942,12,1.633
1943,01,-.903
1943,02,2.857
1943,03,5.737
1943,04,9.180
1943,05,12.541
1943,06,14.340
1943,07,17.472
1943,08,18.047
1943,09,13.940
1943,10,9.922
1943,11,2.587
1943,12,-.197
1944,01,2.516
1944,02,-1.294
1944,03,.926
1944,04,8.401
1944,05,11.380
1944,06,14.112
1944,07,17.336
1944,08,19.712
1944,09,12.964
1944,10,8.480
1944,11,3.820
1944,12,-.643
1945,01,-4.610
1945,02,3.603
1945,03,5.904
1945,04,8.622
1945,05,13.713
1945,06,16.407
1945,07,17.765
1945,08,16.270
1945,09,13.800
1945,10,9.398
1945,11,3.293
1945,12,.841
1946,01,-2.193
1946,02,2.180
1946,03,3.728
1946,04,9.826
1946,05,13.694
1946,06,14.568
1946,07,18.251
1946,08,16.327
1946,09,14.272
1946,10,6.937
1946,11,3.729
1946,12,-2.596
1947,01,-5.038
1947,02,-6.744
1947,03,2.622
1947,04,9.297
1947,05,14.242
1947,06,17.511
1947,07,18.715
1947,08,18.650
1947,09,16.874
1947,10,7.833
1947,11,5.041
1947,12,.997
1948,01,2.554
1948,02,.385
1948,03,5.843
1948,04,9.768
1948,05,13.383
1948,06,15.418
1948,07,16.092
1948,08,16.623
1948,09,14.033
1948,10,8.643
1948,11,4.052
1948,12,.477
1949,01,.885
1949,02,1.637
1949,03,2.086
1949,04,10.200
1949,05,12.109
1949,06,13.896
1949,07,17.415
1949,08,17.021
1949,09,16.632
1949,10,10.722
1949,11,3.577
1949,12,2.543
1950,01,-1.438
1950,02,2.824
1950,03,4.912
1950,04,6.702
1950,05,13.599
1950,06,17.267
1950,07,17.990
1950,08,17.592
1950,09,13.060
1950,10,7.752
1950,11,4.017
1950,12,-2.351
1951,01,.952
1951,02,1.802
1951,03,2.278
1951,04,7.103
1951,05,11.401
1951,06,15.267
1951,07,16.994
1951,08,17.428
1951,09,14.742
1951,10,7.534
1951,11,6.255
1951,12,2.095
1952,01,-.249
1952,02,-.305
1952,03,2.708
1952,04,10.142
1952,05,12.154
1952,06,15.101
1952,07,18.160
1952,08,17.923
1952,09,10.716
1952,10,7.073
1952,11,1.473
1952,12,-1.030
1953,01,-1.301
1953,02,-.303
1953,03,5.021
1953,04,8.913
1953,05,13.119
1953,06,16.093
1953,07,17.622
1953,08,16.508
1953,09,13.746
1953,10,10.457
1953,11,4.604
1953,12,2.257
1954,01,-3.580
1954,02,-3.737
1954,03,4.530
1954,04,5.609
1954,05,11.939
1954,06,15.894
1954,07,14.593
1954,08,15.977
1954,09,13.776
1954,10,9.767
1954,11,3.902
1954,12,2.838
1955,01,-1.989
1955,02,-2.081
1955,03,.391
1955,04,6.722
1955,05,10.257
1955,06,14.499
1955,07,17.499
1955,08,17.053
1955,09,13.780
1955,10,7.978
1955,11,3.651
1955,12,2.082
1956,01,-.061
1956,02,-9.519
1956,03,2.970
1956,04,5.248
1956,05,12.274
1956,06,13.398
1956,07,16.946
1956,08,14.419
1956,09,14.005
1956,10,8.247
1956,11,2.197
1956,12,1.548
1957,01,-.220
1957,02,3.709
1957,03,6.522
1957,04,7.338
1957,05,9.579
1957,06,16.446
1957,07,17.834
1957,08,15.307
1957,09,12.026
1957,10,9.068
1957,11,4.459
1957,12,.030
1958,01,-.740
1958,02,1.713
1958,03,-.343
1958,04,5.089
1958,05,13.421
1958,06,14.428
1958,07,17.059
1958,08,17.180
1958,09,14.805
1958,10,9.254
1958,11,4.117
1958,12,1.993
1959,01,-.456
1959,02,.049
1959,03,6.452
1959,04,9.311
1959,05,12.505
1959,06,15.920
1959,07,19.161
1959,08,17.539
1959,09,13.780
1959,10,8.709
1959,11,3.269
1959,12,1.718
1960,01,-.496
1960,02,.107
1960,03,4.421
1960,04,7.399
1960,05,12.715
1960,06,16.119
1960,07,15.542
1960,08,16.183
1960,09,12.791
1960,10,9.006
1960,11,5.804
1960,12,.799
1961,01,-1.165
1961,02,4.344
1961,03,6.225
1961,04,10.554
1961,05,10.506
1961,06,15.917
1961,07,15.301
1961,08,16.025
1961,09,16.666
1961,10,10.616
1961,11,3.581
1961,12,-.951
1962,01,1.344
1962,02,.097
1962,03,.272
1962,04,8.189
1962,05,9.855
1962,06,13.951
1962,07,15.129
1962,08,16.091
1962,09,12.610
1962,10,9.142
1962,11,2.580
1962,12,-3.591
1963,01,-7.745
1963,02,-5.942
1963,03,2.556
1963,04,8.333
1963,05,11.900
1963,06,15.786
1963,07,17.631
1963,08,16.222
1963,09,14.029
1963,10,8.232
1963,11,7.201
1963,12,-3.527
1964,01,-2.917
1964,02,.449
1964,03,.733
1964,04,8.565
1964,05,13.358
1964,06,16.778
1964,07,17.930
1964,08,16.118
1964,09,13.895
1964,10,7.071
1964,11,4.791
1964,12,-.110
1965,01,.870
1965,02,-2.026
1965,03,2.406
1965,04,6.709
1965,05,11.151
1965,06,15.428
1965,07,15.289
1965,08,15.099
1965,09,13.068
1965,10,8.419
1965,11,1.255
1965,12,2.155
1966,01,-3.061
1966,02,3.429
1966,03,3.425
1966,04,8.583
1966,05,12.930
1966,06,16.891
1966,07,15.734
1966,08,15.687
1966,09,13.555
1966,10,11.204
1966,11,2.100
1966,12,1.510
1967,01,.335
1967,02,2.728
1967,03,5.575
1967,04,6.420
1967,05,12.549
1967,06,14.685
1967,07,18.561
1967,08,16.682
1967,09,14.092
1967,10,11.215
1967,11,3.790
1967,12,-.156
1968,01,-1.512
1968,02,.633
1968,03,4.517
1968,04,8.923
1968,05,10.938
1968,06,16.013
1968,07,16.253
1968,08,16.677
1968,09,13.800
1968,10,10.143
1968,11,3.712
1968,12,-2.325
1969,01,.062
1969,02,-2.241
1969,03,1.001
1969,04,6.984
1969,05,13.085
1969,06,14.834
1969,07,18.482
1969,08,16.829
1969,09,14.071
1969,10,10.168
1969,11,4.955
1969,12,-5.081
1970,01,-2.857
1970,02,-1.373
1970,03,1.145
1970,04,5.406
1970,05,11.459
1970,06,17.048
1970,07,16.238
1970,08,17.010
1970,09,13.596
1970,10,8.893
1970,11,5.614
1970,12,.108
1971,01,-1.427
1971,02,1.291
1971,03,.963
1971,04,8.194
1971,05,13.930
1971,06,14.124
1971,07,17.798
1971,08,18.142
1971,09,12.381
1971,10,9.036
1971,11,3.383
1971,12,3.102
1972,01,-2.494
1972,02,1.901
1972,03,5.494
1972,04,7.142
1972,05,11.526
1972,06,14.460
1972,07,17.752
1972,08,15.994
1972,09,11.073
1972,10,6.903
1972,11,4.176
1972,12,.582
1973,01,-.273
1973,02,.951
1973,03,4.070
1973,04,5.099
1973,05,12.557
1973,06,16.082
1973,07,17.339
1973,08,17.874
1973,09,14.472
1973,10,7.373
1973,11,3.283
1973,12,-.254
1974,01,2.950
1974,02,3.091
1974,03,5.726
1974,04,7.870
1974,05,11.005
1974,06,14.162
1974,07,15.466
1974,08,17.420
1974,09,13.594
1974,10,5.449
1974,11,4.683
1974,12,4.304
1975,01,4.088
1975,02,1.551
1975,03,3.783
1975,04,6.714
1975,05,11.873
1975,06,14.714
1975,07,18.201
1975,08,18.913
1975,09,15.866
1975,10,7.617
1975,11,2.967
1975,12,.773
1976,01,.848
1976,02,.410
1976,03,1.466
1976,04,6.891
1976,05,12.770
1976,06,16.992
1976,07,19.170
1976,08,16.303
1976,09,12.981
1976,10,9.634
1976,11,4.626
1976,12,-1.408
1977,01,.051
1977,02,2.915
1977,03,6.255
1977,04,5.598
1977,05,11.570
1977,06,15.552
1977,07,16.485
1977,08,16.154
1977,09,12.192
1977,10,10.246
1977,11,4.984
1977,12,1.692
1978,01,.432
1978,02,-1.560
1978,03,4.920
1978,04,6.481
1978,05,11.544
1978,06,14.842
1978,07,15.592
1978,08,15.450
1978,09,12.393
1978,10,9.105
1978,11,4.049
1978,12,-.010
1979,01,-4.867
1979,02,-1.860
1979,03,3.714
1979,04,6.319
1979,05,12.349
1979,06,16.646
1979,07,15.399
1979,08,15.751
1979,09,13.438
1979,10,8.765
1979,11,3.562
1979,12,3.453
1980,01,-3.021
1980,02,2.176
1980,03,3.402
1980,04,5.951
1980,05,10.479
1980,06,14.828
1980,07,15.239
1980,08,16.843
1980,09,14.261
1980,10,7.976
1980,11,2.880
1980,12,.103
1981,01,-1.851
1981,02,-.546
1981,03,6.756
1981,04,7.745
1981,05,13.127
1981,06,15.407
1981,07,16.431
1981,08,16.629
1981,09,14.262
1981,10,8.054
1981,11,4.438
1981,12,-2.626
1982,01,-2.585
1982,02,-.109
1982,03,4.395
1982,04,6.464
1982,05,12.368
1982,06,16.347
1982,07,18.743
1982,08,17.496
1982,09,16.096
1982,10,9.666
1982,11,5.898
1982,12,1.930
1983,01,3.571
1983,02,-1.800
1983,03,4.636
1983,04,8.544
1983,05,11.496
1983,06,16.162
1983,07,20.232
1983,08,18.312
1983,09,14.089
1983,10,9.144
1983,11,3.492
1983,12,.256
1984,01,.734
1984,02,-.368
1984,03,2.212
1984,04,6.600
1984,05,10.942
1984,06,13.885
1984,07,15.915
1984,08,17.259
1984,09,12.567
1984,10,10.241
1984,11,5.008
1984,12,.863
1985,01,-5.922
1985,02,-3.025
1985,03,2.922
1985,04,7.649
1985,05,13.363
1985,06,13.647
1985,07,17.371
1985,08,16.549
1985,09,13.847
1985,10,8.964
1985,11,.690
1985,12,3.325
1986,01,-.342
1986,02,-6.442
1986,03,3.109
1986,04,6.305
1986,05,14.227
1986,06,15.761
1986,07,17.068
1986,08,16.512
1986,09,11.667
1986,10,9.735
1986,11,5.791
1986,12,1.599
1987,01,-6.111
1987,02,-.517
1987,03,-.400
1987,04,8.879
1987,05,9.823
1987,06,14.075
1987,07,17.063
1987,08,15.831
1987,09,14.885
1987,10,9.413
1987,11,4.796
1987,12,1.732
1988,01,3.266
1988,02,2.034
1988,03,2.740
1988,04,7.867
1988,05,14.123
1988,06,15.099
1988,07,17.271
1988,08,17.137
1988,09,13.499
1988,10,9.670
1988,11,2.853
1988,12,2.942
1989,01,2.194
1989,02,3.331
1989,03,7.108
1989,04,7.201
1989,05,13.551
1989,06,15.209
1989,07,17.798
1989,08,17.215
1989,09,14.685
1989,10,10.476
1989,11,2.836
1989,12,2.056
1990,01,2.201
1990,02,5.760
1990,03,7.079
1990,04,7.419
1990,05,13.677
1990,06,15.325
1990,07,16.635
1990,08,18.477
1990,09,12.089
1990,10,10.333
1990,11,4.376
1990,12,.315
1991,01,1.272
1991,02,-2.597
1991,03,6.567
1991,04,6.952
1991,05,9.391
1991,06,13.626
1991,07,18.988
1991,08,18.070
1991,09,15.043
1991,10,8.267
1991,11,3.791
1991,12,.374
1992,01,.646
1992,02,2.737
1992,03,4.964
1992,04,7.672
1992,05,14.142
1992,06,17.157
1992,07,18.674
1992,08,19.350
1992,09,13.721
1992,10,6.505
1992,11,5.210
1992,12,1.012
1993,01,2.147
1993,02,-.764
1993,03,3.756
1993,04,10.136
1993,05,14.685
1993,06,15.580
1993,07,16.233
1993,08,15.955
1993,09,12.548
1993,10,7.917
1993,11,.427
1993,12,2.741
1994,01,2.689
1994,02,-.241
1994,03,6.416
1994,04,7.867
1994,05,12.566
1994,06,15.917
1994,07,21.160
1994,08,18.058
1994,09,13.538
1994,10,7.801
1994,11,7.104
1994,12,3.163
1995,01,-.145
1995,02,4.392
1995,03,3.306
1995,04,8.360
1995,05,12.163
1995,06,14.371
1995,07,20.084
1995,08,18.400
1995,09,12.941
1995,10,11.803
1995,11,2.917
1995,12,-2.161
1996,01,-2.981
1996,02,-2.337
1996,03,1.229
1996,04,8.218
1996,05,11.258
1996,06,15.601
1996,07,15.937
1996,08,17.395
1996,09,11.124
1996,10,9.295
1996,11,4.382
1996,12,-2.562
1997,01,-2.935
1997,02,3.919
1997,03,6.027
1997,04,6.212
1997,05,12.706
1997,06,15.809
1997,07,17.302
1997,08,19.983
1997,09,14.108
1997,10,7.846
1997,11,3.868
1997,12,1.826
1998,01,2.165
1998,02,4.261
1998,03,4.957
1998,04,8.803
1998,05,13.960
1998,06,16.587
1998,07,16.635
1998,08,16.929
1998,09,13.608
1998,10,8.594
1998,11,1.429
1998,12,.599
1999,01,2.316
1999,02,.129
1999,03,5.554
1999,04,8.930
1999,05,13.729
1999,06,15.206
1999,07,18.940
1999,08,17.385
1999,09,17.175
1999,10,9.136
1999,11,3.351
1999,12,1.756
2000,01,.589
2000,02,3.774
2000,03,5.234
2000,04,10.048
2000,05,14.702
2000,06,16.859
2000,07,15.529
2000,08,17.854
2000,09,14.253
2000,10,10.625
2000,11,6.031
2000,12,2.815
2001,01,.529
2001,02,2.159
2001,03,4.286
2001,04,7.102
2001,05,14.228
2001,06,14.400
2001,07,18.487
2001,08,18.792
2001,09,12.051
2001,10,12.594
2001,11,3.669
2001,12,-.663
2002,01,.797
2002,02,4.910
2002,03,5.497
2002,04,7.943
2002,05,13.852
2002,06,17.328
2002,07,17.773
2002,08,19.072
2002,09,13.412
2002,10,8.166
2002,11,5.366
2002,12,.027
2003,01,-.659
2003,02,-1.867
2003,03,5.555
2003,04,8.197
2003,05,14.139
2003,06,19.194
2003,07,19.131
2003,08,20.520
2003,09,14.176
2003,10,5.913
2003,11,5.992
2003,12,1.521
2004,01,-.555
2004,02,2.306
2004,03,4.117
2004,04,9.178
2004,05,11.523
2004,06,15.296
2004,07,16.960
2004,08,18.650
2004,09,14.169
2004,10,10.036
2004,11,4.070
2004,12,.730
2005,01,1.631
2005,02,-1.199
2005,03,3.606
2005,04,9.082
2005,05,12.813
2005,06,16.255
2005,07,18.180
2005,08,15.960
2005,09,15.216
2005,10,11.154
2005,11,4.022
2005,12,.386
2006,01,-2.849
2006,02,-.469
2006,03,1.546
2006,04,8.013
2006,05,13.076
2006,06,16.691
2006,07,21.878
2006,08,15.957
2006,09,17.131
2006,10,12.112
2006,11,6.832
2006,12,4.088
2007,01,4.284
2007,02,3.856
2007,03,6.247
2007,04,11.241
2007,05,14.128
2007,06,17.597
2007,07,17.403
2007,08,16.983
2007,09,12.710
2007,10,8.296
2007,11,3.526
2007,12,1.252
2008,01,3.234
2008,02,3.706
2008,03,4.285
2008,04,7.594
2008,05,14.437
2008,06,17.001
2008,07,18.171
2008,08,17.549
2008,09,12.593
2008,10,9.048
2008,11,4.873
2008,12,.725
2009,01,-2.458
2009,02,.381
2009,03,4.293
2009,04,11.680
2009,05,13.649
2009,06,14.979
2009,07,18.213
2009,08,18.729
2009,09,14.929
2009,10,8.038
2009,11,7.196
2009,12,-.120
2010,01,-4.059
2010,02,-.655
2010,03,4.183
2010,04,8.560
2010,05,10.625
2010,06,16.280
2010,07,20.296
2010,08,16.927
2010,09,12.565
2010,10,8.100
2010,11,4.541
2010,12,-4.193
2011,01,.612
2011,02,.852
2011,03,5.038
2011,04,11.441
2011,05,13.874
2011,06,16.716
2011,07,16.309
2011,08,17.977
2011,09,15.448
2011,10,9.462
2011,11,4.620
2011,12,3.524
2012,01,1.604
2012,02,-2.709
2012,03,6.991
2012,04,8.059
2012,05,14.195
2012,06,15.627
2012,07,17.550
2012,08,18.561
2012,09,13.823
2012,10,8.770
2012,11,5.074
2012,12,.982
2013,01,-.271
2013,02,-.887
2013,03,.246
2013,04,8.079
2013,05,11.937
2013,06,15.703
2013,07,19.462
2013,08,18.051
2013,09,13.447
2013,10,10.523
2013,11,4.458
2013,12,3.220
2014,01,1.824
2014,02,4.240
2014,03,7.119
2014,04,10.732
2014,05,12.517
2014,06,16.144
2014,07,19.471
2014,08,16.206
2014,09,15.169
2014,10,11.866
2014,11,6.492
2014,12,2.265
2015,01,1.838
2015,02,.708
2015,03,5.281
2015,04,8.291
2015,05,12.306
2015,06,15.829
2015,07,19.443
2015,08,20.003
2015,09,13.210
2015,10,8.375
2015,11,7.402
2015,12,6.061
2016,01,.619
2016,02,3.218
2016,03,4.116
2016,04,7.918
2016,05,13.750
2016,06,17.213
2016,07,18.722
2016,08,17.857
2016,09,17.055
2016,10,8.367
2016,11,3.765
2016,12,1.865
2017,01,-2.370
2017,02,2.837
2017,03,7.239
2017,04,7.333
2017,05,14.175
2017,06,17.797
2017,07,18.217
2017,08,18.001
2017,09,13.088
2017,10,11.119
2017,11,4.899
2017,12,2.316
2018,01,3.363
2018,02,-1.903
2018,03,2.413
2018,04,12.070
2018,05,16.020
2018,06,17.859
2018,07,20.219
2018,08,19.917
2018,09,15.367
2018,10,10.793
2018,11,5.342
2018,12,3.484
2019,01,.201
2019,02,4.122
2019,03,6.562
2019,04,9.460
2019,05,10.970
2019,06,19.669
2019,07,18.970
2019,08,19.243
2019,09,14.149
2019,10,10.807
2019,11,5.084
2019,12,3.394
